order_id,source,application_datetime,gender,first_call,first_reach,operator_group_type,operator_group_name,trial_appointment_datetime,appointment_added_by_id,is_paid
11428979,91ce888e6774bd668a675b5640499103,2020-09-04 08:59:18,1.0,2020-09-04 09:30:05.301444,2020-09-04 10:26:55.204401,a170e8b5b0085420fa52f9f9e1d546f9,d4f622b69e50e86a65cd6fae4bcf575f,2020-09-04 13:28:01.013753,10341835,0
10480343,91ce888e6774bd668a675b5640499103,2020-04-14 14:43:03,1.0,2020-04-23 14:43:52.240056,2020-04-23 22:45:30.779217,e908f62885515872936a2bf07e5960a0,a0b8ef7535f9201f77c5a97d2ba4db2b,2020-04-16 04:03:38.810054,3565307,1
11761284,4502821cb71c7f2195cd4e542273fe38,2020-11-11 11:53:00,0.0,2020-11-11 15:26:44.775324,2020-11-11 21:32:32.743844,e908f62885515872936a2bf07e5960a0,a0b8ef7535f9201f77c5a97d2ba4db2b,2020-11-12 16:15:31.574511,-2,1
10242214,91ce888e6774bd668a675b5640499103,2020-02-05 08:53:55,,2020-02-09 13:06:59.268876,2020-05-15 15:06:43.914670,e908f62885515872936a2bf07e5960a0,a0b8ef7535f9201f77c5a97d2ba4db2b,2020-02-06 20:21:05.608345,6290758,1
10153010,91ce888e6774bd668a675b5640499103,2020-01-09 21:45:59,,2020-01-16 03:42:10.825217,2020-01-16 09:22:39.562566,e908f62885515872936a2bf07e5960a0,a0b8ef7535f9201f77c5a97d2ba4db2b,2020-01-11 00:10:04.383018,6455987,0
10530862,91ce888e6774bd668a675b5640499103,2020-04-24 09:07:20,1.0,2020-04-24 12:01:23.688176,2020-04-25 18:28:59.811585,a170e8b5b0085420fa52f9f9e1d546f9,d4f622b69e50e86a65cd6fae4bcf575f,2020-04-26 13:03:10.411202,5834881,1
11567183,4cedf3fbf9f7dc88b37bc42c66908c06,2020-10-07 09:19:26,1.0,2020-10-07 12:06:47.105583,2020-10-07 20:32:53.512253,a170e8b5b0085420fa52f9f9e1d546f9,d4f622b69e50e86a65cd6fae4bcf575f,2020-10-08 17:23:07.100789,5834861,1
10203141,91ce888e6774bd668a675b5640499103,2020-01-19 13:05:35,,2020-01-19 14:53:54.914525,2020-01-19 18:33:36.929980,a170e8b5b0085420fa52f9f9e1d546f9,d4f622b69e50e86a65cd6fae4bcf575f,2020-01-21 00:52:48.281188,6369163,1
11009549,4502821cb71c7f2195cd4e542273fe38,2020-04-30 20:00:23,1.0,2020-05-01 00:08:26.852494,2020-05-01 08:33:27.217124,a170e8b5b0085420fa52f9f9e1d546f9,d4f622b69e50e86a65cd6fae4bcf575f,2020-05-02 11:14:14.928513,5064182,0
11255712,a636bcf354a837fb5c25c3d5b940170b,2020-07-14 20:25:08,0.0,2020-07-14 23:21:25.780328,2020-07-15 05:06:08.330524,a170e8b5b0085420fa52f9f9e1d546f9,d4f622b69e50e86a65cd6fae4bcf575f,2020-07-15 23:19:43.907886,5151573,1
11245589,91ce888e6774bd668a675b5640499103,2020-07-10 01:58:50,,2020-07-10 05:32:57.009376,2020-07-10 12:16:21.933337,a170e8b5b0085420fa52f9f9e1d546f9,d4f622b69e50e86a65cd6fae4bcf575f,2020-07-11 09:37:13.041678,5550313,0
11760700,91ce888e6774bd668a675b5640499103,2020-11-17 04:52:59,,2020-11-17 06:42:35.233946,2020-11-17 09:51:04.444741,a170e8b5b0085420fa52f9f9e1d546f9,d4f622b69e50e86a65cd6fae4bcf575f,2020-11-17 19:52:10.980441,10751724,0
11537888,91ce888e6774bd668a675b5640499103,2020-09-23 19:13:15,,2020-09-23 23:41:33.336689,2020-09-24 07:19:28.978481,a170e8b5b0085420fa52f9f9e1d546f9,d4f622b69e50e86a65cd6fae4bcf575f,2020-09-25 23:10:49.682752,5047703,0
11258801,91ce888e6774bd668a675b5640499103,2020-07-27 03:26:22,0.0,2020-07-27 03:51:36.087583,2020-07-27 04:42:25.171683,a170e8b5b0085420fa52f9f9e1d546f9,d4f622b69e50e86a65cd6fae4bcf575f,2020-07-27 07:41:36.786508,5550077,0
11168605,91ce888e6774bd668a675b5640499103,2020-06-17 06:53:27,,2020-06-21 15:15:27.078991,2020-09-24 11:35:22.907403,e908f62885515872936a2bf07e5960a0,a0b8ef7535f9201f77c5a97d2ba4db2b,2020-06-17 14:08:41.085633,-2,0
11581684,91ce888e6774bd668a675b5640499103,2020-10-14 04:24:06,0.0,2020-10-14 22:59:14.103185,2020-10-15 06:00:28.076373,e908f62885515872936a2bf07e5960a0,a0b8ef7535f9201f77c5a97d2ba4db2b,2020-10-15 13:05:26.363666,-2,0
10246904,91ce888e6774bd668a675b5640499103,2020-01-31 16:24:59,,2020-02-01 12:51:47.974269,2020-02-01 15:01:39.921581,a170e8b5b0085420fa52f9f9e1d546f9,d4f622b69e50e86a65cd6fae4bcf575f,2020-02-06 15:26:03.754941,5047960,0
10162368,91ce888e6774bd668a675b5640499103,2020-01-10 14:31:55,,2020-01-10 15:30:28.754526,2020-01-10 15:39:37.013794,a170e8b5b0085420fa52f9f9e1d546f9,d4f622b69e50e86a65cd6fae4bcf575f,2020-01-10 16:13:52.043106,4765673,1
